SAMPLE,AMP,CENTROID,DURATION
136,-52.844706,6289.541487,159.727891
137,-76.879201,6082.726859,34.648526
138,-56.49396,5597.882113,113.786848
139,-53.816757,4599.037528,18.895833
140,-53.125893,8161.195557,51.85941
141,-75.17854,9019.855409,188.117914
142,-59.981175,6327.048512,75.873016
143,-60.46955,3949.654792,90.634921
144,-76.853285,3355.043563,11.989583
145,-73.107497,5113.215048,52.857143
146,-65.456974,6813.35139,19.041667
147,-39.713948,8779.385519,37.302083
148,-67.230642,4619.088751,92.76644
149,-59.469054,6781.97517,27.979167
150,-111.995316,8111.896971,10.791667
151,-70.406267,5060.305135,104.013605
152,-75.801408,1954.553777,15.3125
153,-51.5724,6660.695833,26.96875
154,-63.32529,2009.834441,19.833333
155,-67.660415,5149.268037,98.548753
156,-68.975937,1865.625789,24.072917
157,-72.908496,7961.238386,158.208617
158,-107.821977,5520.154958,10.989583
159,-56.196915,2567.988289,17.53125
160,-73.408661,2926.842426,15.3125
161,-67.728402,2524.366825,10.489583
162,-115.245609,3997.341697,24.331066
163,-53.44865,7594.597832,34.604167
164,-59.267052,7941.052483,10.197917
165,-54.806683,6503.948057,138.61678
166,-49.93294,3331.311311,19.614583
167,-75.321082,7042.342474,41.904762
168,-57.284543,2379.873175,10.5
169,-67.207493,8815.219109,23.9375
170,-97.289306,7591.671106,10.90625
171,-51.670551,5754.666473,77.891156
172,-58.205639,4083.574216,18.364583
173,-53.973048,4332.116392,10.645833
174,-53.768223,6342.538246,162.426304
175,-97.95969,5420.353142,21.4375
176,-71.447632,2927.326479,22.989583
177,-51.484581,6394.865209,10.1875
178,-47.215573,3693.427951,27.770833
179,-67.025549,5208.066315,36.462585
180,-60.882144,5822.424831,64.217687
181,-62.701868,5681.402852,74.761905
182,-55.790621,4272.902983,10.135417
183,-68.436932,4917.796137,13.270833
184,-56.394932,5018.441636,61.269841
185,-65.808245,4412.460417,78.321995
186,-68.342082,4624.734582,60.113379
187,-64.869038,4848.129002,81.451247
188,-69.974502,4759.082098,53.900227
189,-105.443338,2955.981548,25.283447
190,-93.455091,3543.512395,21.489583
191,-88.145678,5511.376773,77.868481
192,-61.499929,6104.535962,18.888889
193,-54.973871,4355.28106,88.594104
194,-46.807673,6682.668408,178.049887
195,-80.466091,2313.594016,32.721088
196,-80.88423,4679.146286,22.630385
197,-84.174693,5491.789602,47.891156
198,-57.776302,6924.252282,80.702948
199,-56.961887,4338.429399,20.739583
200,-64.413386,9187.16007,10.270833
201,-61.780311,8135.215702,43.582766
202,-96.058989,6201.993936,10.927083
203,-60.162897,9240.746514,16.5625
204,-66.180349,3061.656377,23.572917
205,-73.451289,4652.895529,22.020833
206,-98.284196,7004.269661,26.349206
207,-55.731327,3486.599894,21.09375
208,-61.045069,3576.238309,10.458333
209,-63.693389,3224.445375,10.541667
210,-46.586765,6379.751422,35.010417
211,-65.055378,7886.685111,100.068027
212,-78.218344,2908.20377,62.517007
213,-47.823593,5773.840622,30.677083
214,-61.516625,1764.618766,21.0625
215,-71.585979,3940.888198,20.136054
216,-56.45183,2880.071696,28.010417
217,-64.264221,822.906822,20.979167
218,-73.192196,4650.912866,34.580499
219,-63.340653,5839.684666,10.416667
220,-75.643241,1317.28168,15.354167
221,-66.854853,5376.220333,35.895692
222,-86.540127,3767.459533,21.760417
223,-63.720755,3583.625429,83.922902
224,-79.105418,2139.981613,13.270833
225,-61.259634,7933.624036,26.354167
226,-60.116117,4366.505088,99.705215
227,-57.899692,5338.052875,69.659864
228,-94.111655,4040.567732,27.913832
229,-74.888865,5902.308705,52.902494
230,-101.190036,6237.949655,11.041667
231,-74.041841,6376.474328,12.5625
232,-83.937984,4507.899314,12.010417
233,-121.705729,4129.8605,10.677083
234,-91.808056,2424.173431,26.485261
235,-53.690114,3946.11811,18.104167
236,-60.578374,3663.880431,10.135417
237,-106.094084,3901.825399,25.079365
238,-59.677539,4439.124837,10.364583
239,-117.542908,9501.749111,10.729167
240,-62.322723,4515.052984,10.3125
241,-60.421502,5546.578495,43.560091
242,-55.202731,3107.655664,18.302083
243,-54.617668,8458.41471,10.395833
244,-65.744686,6277.573998,151.247166
245,-63.611665,5554.930574,23.729167
246,-62.463006,6429.917992,10.020833
247,-69.222629,7734.468408,49.773243
248,-61.414067,1169.349782,23.791667
249,-52.845743,5005.221437,91.904762
250,-55.671366,4344.081341,19.760417
251,-80.526968,3678.035897,96.054422
252,-59.463756,8329.85866,17.010417
253,-60.643565,5113.341552,10.229167
254,-65.338373,8290.216088,15.46875
255,-59.163164,4942.402351,10.197917
256,-55.078397,3652.058911,26.78125
257,-68.484305,2528.335557,39.795918
258,-58.030712,4047.656787,10.645833
259,-70.679145,2436.198212,15.65625
260,-69.72546,919.080259,23.614583
261,-51.977626,3826.098004,27.09375
262,-70.556059,9320.559221,22.697917
263,-76.151295,2218.20023,22.135417
264,-70.478877,1669.284997,23.166667
265,-64.84254,3309.445747,10.260417
266,-67.430126,849.565924,16.791667
267,-39.690814,7874.576887,39.333333
268,-67.860819,2869.244987,16.291667
269,-94.759037,5060.476309,11.010417
270,-72.906893,2726.398339,13.71875
271,-66.433171,1888.653617,16.333333
272,-88.793589,3335.664096,11.541667
273,-65.906872,6955.266229,17.041667
274,-69.373659,1810.60178,23.5625
275,-68.711806,7055.864283,16.520833
276,-69.736268,1490.237005,23.53125
277,-69.114219,1404.051682,23.6875
278,-69.72782,1614.979596,16.666667
279,-58.161674,2898.397411,133.151927
280,-62.717506,9424.056176,16.104167
281,-66.581217,10314.30425,15.604167
282,-93.795813,4440.922928,11.052083
283,-52.637572,4875.187431,20.489583
284,-69.398952,4386.292571,22.625
285,-55.055685,3793.667867,10.416667
286,-66.839578,1956.162489,15.34375
287,-67.580724,9418.564496,16.645833
